Solver Name,Mean,Std Dev,Input Size,Dimensions
fftw,0.20625,0.705752,8,1
fftw,1.12187,0.163429,8,2
seq,6.97031,1.45406,8,1
seq,106.869,2.4199,8,2
gpu,113.773,113.762,8,1
gpu,98.4984,2.86157,8,2
fftw,0.379688,1.27563,16,1
fftw,5.22969,0.171099,16,2
seq,15.4062,0.679125,16,1
seq,490.908,3.29091,16,2
gpu,107.95,26.1772,16,1
gpu,101.447,1.48566,16,2
fftw,0.982812,3.442,32,1
fftw,25.375,0.293684,32,2
seq,34.5531,0.786799,32,1
seq,2505.59,618.203,32,2
gpu,107.364,19.5033,32,1
gpu,112.233,3.32303,32,2
fftw,1.97656,0.383545,64,1
fftw,161.656,6.19745,64,2
seq,74.425,0.681222,64,1
seq,9715.45,150.937,64,2
gpu,120.828,25.4139,64,1
gpu,220.927,10.84,64,2
fftw,4.99531,4.03239,128,1
fftw,1178.26,52.1,128,2
seq,165.592,15.6844,128,1
seq,41726.1,469.801,128,2
gpu,128.136,14.9359,128,1
gpu,554.939,6.68958,128,2
fftw,8.49844,2.20946,256,1
fftw,4341.41,119.483,256,2
seq,345.419,15.327,256,1
seq,178785,1269.73,256,2
gpu,1027.37,107.114,256,1
gpu,4218.55,4864.22,256,2
fftw,18.1594,1.68168,512,1
fftw,18961.8,243.462,512,2
seq,742.192,41.0734,512,1
seq,774465,9056.11,512,2
gpu,1839.18,303.357,512,1
gpu,9779.36,6997.08,512,2
fftw,39.275,8.80261,1024,1
fftw,89248.8,1310.76,1024,2
seq,1612.77,25.7685,1024,1
seq,3352370,80772.7,1024,2
gpu,3539.49,1099.37,1024,1
gpu,31910.2,1857.69,1024,2
